# ----------------------------------------------------------------------------------------------------------------------------------
# D. Cordier -- Institut UTINAM, Besançon, 13 novembre 2013 
# Database of interaction parameters "K_ij" used in PC-SAFT theory.
# ----------------------------------------------------------------------------------------------------------------------------------
# 
# ----------------------------------------------------------------------------------------------------------------------------------
# On commence par les couples d'espces n'ayant pas un 'kij' qui dpend de la temprature (coefficient 'b' valant zro), on lit
# la Table 3 de Tan et al. (2013) par colonne. Ces valeurs sont celles apparaissant en roman (ie par en italique) dans la table,
# ceci ventuellement entre parenthses.
# Comp. 1      | Comp. 2      |      a    |      b    | Comment
N2             CH4                 0.0300      0.0000  Tan et al. (2013)
#N2             CH4                 0.0000      0.0000  Test pour alcanofère
# Maintenant ceux que j'ajoute pour calculer la dissolution des solides :
N2             HCN                  0.0000      0.0000   Moi
N2             C4H10                0.0000      0.0000   Moi
N2             CH3CN                0.0000      0.0000   Moi
N2             CO2                  0.0000      0.0000   Moi
#N2             CO2                  0.8000      0.0000   Moi
#N2             CO2                  0.6000      0.0000   Moi
#N2             CO2                 -0.0200      0.0000   Moi
N2             C6H6                 0.0000      0.0000   Moi
#
CO             N2                   0.0080      0.0000  Tan et al. (2013)
#
Ar             CO                   0.0000      0.0000  Tan et al. (2013)
Ar             H2                  -0.1530      0.0000  Tan et al. (2013)
#
C2H6           N2                   0.0400      0.0000  Tan et al. (2013)
#C2H6           N2                   0.0000      0.0000  Valeur de test pour l'influence de PC-SAFT sur le gradient de l'alcanofère
#C2H6           N2                   0.0400      0.0000  Tan et al. (2013)
#C2H6           N2                   0.0600      0.0000  Dt. le 13 mars 2017  partir des donnes de Malaska et al. (2017).
#C2H6           N2                   0.0700      0.0000  Valeur de travail pur TiLSS, 6 Nov. 2018, JPL.
#
#
#C2H6           N2                   0.0500      0.0000  Moi en fittant les donnes de Gabis (1991) fournies par Glein & Shock (2013)
C2H6           CH4                  0.0000      0.0000  Tan et al. (2013)
C2H6           CO                   0.0100      0.0000  Tan et al. (2013)
# Maintenant ceux que j'ajoute pour calculer la dissolution des solides :
C2H6           HCN                  0.0000      0.0000   Moi
C2H6           C4H10                0.0000      0.0000   Moi
C2H6           CH3CN                0.0000      0.0000   Moi
C2H6           CO2                  0.1300      0.0000   Moi
C2H6           C6H6                -0.1388     15.0699   Moi: ajuste pour fitter la valeur de Diez-y-Riega et al. (2014)
#
C2H2           N2                   0.0800      0.0000  Tan et al. (2013)
#C2H2           CH4                  0.1000      0.0000  Tan et al. (2013)
C2H2           CH4                  0.1150      0.0000  Cordier, juillet 2014, par comparaison avec les data exp. de Neumann & Mann (1969)
#C2H2           CH4                 -0.0735      0.0000  
#C2H2           CH4                 -0.0805      0.0000  Test pour Sunny (24/08/2015) 
C2H2           CO                   0.0400      0.0000  Tan et al. (2013)
C2H2           C2H6                 0.1050      0.0000  Tan et al. (2013)
#C2H2           C2H6                -0.1500      0.0000  Test pour Sunny (24/08/2015)
#
C3H8           N2                   0.0730      0.0000  Tan et al. (2013)
C3H8           CH4                  0.0000      0.0000  Tan et al. (2013)
C3H8           C2H6                 0.0050      0.0000  Tan et al. (2013)
C3H8           C2H2                 0.1000      0.0000  Tan et al. (2013)
#
C2H4           N2                   0.0620      0.0000  Tan et al. (2013)
C2H4           CH4                  0.0120      0.0000  Tan et al. (2013)
